#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]
1717166560747901291,-6.470581865869462e-07,0.0016671286430209875,8.034107281673641e-07,-1.245836853981018,-0.005904259160161018,9.812553405761719
1717166560789825185,-7.644721335964277e-07,-0.0005555434036068618,-3.0114836135908263e-07,-0.42842718958854675,-0.0004627946764230728,9.803789138793945
1717166560845978674,-2.9377952159848064e-07,0.0011598145356401801,1.4357964346345398e-06,-0.9887976050376892,0.0023838523775339127,9.81253719329834
1717166560890874165,5.197725840844214e-07,-0.0009414132218807936,-2.747702012584341e-07,-0.18855008482933044,-0.0023971188347786665,9.804433822631836
1717166560953570862,4.6442255552392453e-07,0.0008579784771427512,2.0496026991168037e-06,-0.7662572264671326,0.00022633187472820282,9.813267707824707
1717166560990716242,-3.432633093325421e-07,-0.0011448641307651997,-2.0587779658853833e-07,0.009043469093739986,0.0001253093359991908,9.805079460144043
1717166561046238141,-7.162016117945313e-07,0.0007209557224996388,-1.0898356777033769e-06,-0.5636389851570129,0.007812045514583588,9.813693046569824
1717166561089266196,9.817722457228228e-07,-0.0012700693914666772,-8.422333621638245e-07,0.18690741062164307,-0.007606492377817631,9.805404663085938
1717166561148736935,8.609276846982539e-07,0.0006585904047824442,1.1823465229099384e-06,-0.4033006727695465,0.00485636480152607,9.814269065856934
1717166561196601868,-2.8659997042268515e-08,-0.0012703400570899248,-4.69417472004352e-07,0.3421286344528198,-0.0006274199113249779,9.8054838180542
1717166561245985661,-7.469006959581748e-07,0.0005850979359820485,1.1212517847525305e-07,-0.22545328736305237,0.0021236203610897064,9.814053535461426
1717166561289945166,-1.726621121633798e-07,-0.001279204967431724,-8.424988209299045e-07,0.5075132846832275,-0.003519756719470024,9.805941581726074
1717166561347368817,-3.472086973488331e-08,0.0005919046816416085,-2.764389250842214e-07,-0.07500320672988892,-0.005959892645478249,9.814140319824219
1717166561396392825,6.311565812211484e-07,-0.001263354904949665,-1.0340269227526733e-06,0.6627066731452942,0.00845907162874937,9.805685997009277
1717166561454738931,-1.8337559595238417e-06,0.0005390126025304198,2.1400878722488414e-06,0.10290484875440598,-0.008692674338817596,9.814138412475586
1717166561491149200,-2.662600309122354e-07,-0.001221928745508194,-3.0259329264481494e-07,0.8181005716323853,0.005439106374979019,9.805887222290039
1717166561546185581,6.694017429254018e-07,0.00046936413855291903,-3.550252813511179e-06,0.28324466943740845,-0.0063934773206710815,9.813888549804688
1717166561597098200,1.084964424080681e-06,0.00047973860637284815,-2.9122760679456405e-05,0.6406576037406921,0.008172720670700073,9.809484481811523
1717166561639222328,-1.9496110326144844e-07,0.0007705562748014927,4.233740401105024e-05,-0.509522020816803,-0.006516093388199806,9.814632415771484
1717166561700126852,5.37113010068424e-07,-0.0006935579003766179,3.093800771125643e-08,0.4505346715450287,0.0057456595823168755,9.804505348205566
